name 			minigun
poshname		Minigun
shoottype		automatic
numbullets		10
muzzletip		64
timebetweenshots	0.27
bulletparticle		rifle
bulletspeed		0.1
bulletspeedrandom	0.0
clipsize		300
reloadsize		100
reloadtime		25
ammotype		chain
aimcone			0.2
reloaddropclip		0
weapontexture		textures/weapons/minigun.bmp
guitexture		textures/gui/wep_minigun.bmp
damage			1
damagefade		0.00
shelltype		chainshell
slot			4
shootsound		sound/weapons/minigun/shoot.wav
reloadsound		sound/weapons/minigun/reload.wav
screenshake		35
