name 			minigun
poshname		Minigun
shoottype		automatic
numbullets		1
muzzletip		64
timebetweenshots	0.27
bulletparticle		rifle
bulletspeed		3.0
bulletspeedrandom	0.2
clipsize		300
reloadsize		100
reloadtime		25
ammotype		chain
aimcone			0.1
reloaddropclip		0
weapontexture		minigun.bmp
guitexture		wep_minigun.bmp
damage			25
damagefade		0.01
shelltype		chainshell
slot			4
shootsound		sound/weapons/minigun/shoot.ogg
reloadsound		sound/weapons/minigun/reload.ogg
screenshake		35
spintimer		700
spinsound		sound/weapons/minigun/spin.ogg
