name 			smaw
poshname		SMAW
shoottype		pistol
numbullets		1
muzzletip		60
timebetweenshots	0.01
bulletparticle		rpg
bulletspeed		0.1
bulletspeedrandom	0.0
clipsize		1
reloadsize		1
reloadtime		15
ammotype		grenades
aimcone			0.00
reloaddropclip		0
weapontexture		smaw.bmp
guitexture		wep_smaw.bmp
damage			150
damagefade		0.0
shelltype		none
slot			4
shootsound		sound/weapons/smaw/shoot.ogg
reloadsound		sound/weapons/smaw/reload.ogg
screenshake		30
width			64
height			128
carryoffset		-20
heightoffset		4
